"","player_id","name","season","team_id","nation","pos","matches","starts","minutes","goals","assists","yellow_cards","red_cards"
"330",253,"Kealia Ohai",2018,"HOU","USA","FW,MF",19,18,1439,5,4,1,0
"331",186,"Ifeoma Onumonu",2018,"POR","USA","FW",8,3,310,0,0,0,0
"332",165,"Francisca Ordega",2018,"WAS","NGA","FW,MF",18,15,1193,3,0,3,0
"333",357,"Megan Oyster",2018,"SEA","USA","DF",20,20,1800,1,2,3,0
"334",82,"Carson Pickett",2018,"ORL","USA","DF",19,16,1381,0,0,2,0
"335",26,"Amandine Pierre-Louis",2018,"NJ","CAN","DF",3,0,44,0,0,0,0
"336",412,"NA Poliana",2018,"ORL","BRA","DF",10,8,694,0,0,0,0
"337",105,"Clare Polkinghorne",2018,"HOU","AUS","DF",9,9,782,0,0,0,0
"338",96,"Christen Press",2018,"UTA","USA","FW",11,11,975,2,2,0,0
"339",492,"Toni Pressley",2018,"ORL","USA","DF",11,10,813,1,0,1,0
"340",398,"Nichelle Prince",2018,"HOU","CAN","FW",20,11,1023,1,2,0,0
"341",387,"Morgan Proffitt",2018,"WAS","USA","MF",4,2,197,0,0,0,0
"342",331,"Mallory Pugh",2018,"WAS","USA","FW",15,13,1082,2,1,0,0
"343",337,NA,2018,"POR","USA","FW",19,15,1299,0,0,1,0
"344",427,"Rebecca Quinn",2018,"WAS","CAN","DF,MF",17,16,1384,0,0,1,0
"345",358,"Megan Rapinoe",2018,"SEA","USA","FW,MF",16,15,1317,7,6,2,0
"346",182,"Hayley Raso",2018,"POR","AUS","FW,MF",12,9,774,2,2,0,0
"347",58,"Brittany Ratcliffe",2018,"UTA","USA","FW",10,4,366,2,0,2,0
"348",238,"Katherine Reynolds",2018,"POR","USA","DF",17,16,1419,1,0,0,0
"349",131,"Domi Richardson",2018,"NJ","USA","DF,MF",16,14,1356,0,0,0,0
"350",74,"Cari Roccaro",2018,"NC","USA","DF",2,2,172,0,0,0,0
"351",31,"Amy Rodriguez",2018,"UTA","USA","FW,MF",19,16,1300,5,1,0,0
"352",425,"Raquel Rodriguez",2018,"NJ","CRC","FW",15,10,909,0,1,0,0
"353",35,"Angela Salem",2018,"POR","USA","MF",5,1,161,0,0,1,0
"354",48,"Becky Sauerbrunn",2018,"UTA","USA","DF",20,19,1720,0,0,2,0
"355",127,"Desiree Scott",2018,"UTA","CAN","MF",21,20,1811,0,0,2,0
"356",364,"Meleana Shim",2018,"HOU","USA","MF",8,7,596,0,0,0,0
"357",39,"Arielle Ship",2018,"WAS","USA","FW",2,0,41,1,0,0,0
"358",85,"Casey Short",2018,"CHI","USA","DF",9,8,654,1,0,0,0
"359",283,"Kyah Simon",2018,"HOU","AUS","FW",15,11,949,2,2,1,0
"360",102,"Christine Sinclair",2018,"POR","CAN","FW,MF",24,24,2160,9,6,4,0
"361",156,"Erica Skroski",2018,"NJ","USA","DF",20,20,1654,0,0,1,0
"362",477,"Taylor Smith",2018,"WAS","USA","FW",23,23,2064,0,1,1,0
"363",178,"Havana Solaun",2018,"WAS","JAM","MF",13,5,495,0,1,0,0
"364",152,"Emily Sonnett",2018,"POR","USA","DF",20,20,1755,1,1,5,0
"365",368,"Meredith Speck",2018,"NC","USA","MF",15,2,245,0,0,0,0
"366",199,"Jasmyne Spencer",2018,"SEA","USA","FW",22,8,948,1,0,1,0
"367",404,"Nikki Stanton",2018,"CHI","USA","MF",20,16,1451,0,0,4,0
"368",244,"Katie Stengel",2018,"UTA","USA","FW",23,10,1142,6,0,0,0
"369",428,"Rebekah Stott",2018,"NJ","NZL","DF,MF",9,8,774,0,0,1,0
"370",33,"Andi Sullivan",2018,"WAS","USA","MF",23,22,1985,0,1,0,0
"371",218,"Jodie Taylor",2018,"SEA","ENG","FW",24,24,2089,9,1,3,0
"372",482,NA,2018,"NJ","BRA","MF",8,5,396,0,0,0,0
"373",137,"Elise Thorsnes",2018,"UTA","NOR","FW",9,3,353,0,0,0,0
